t_start,t_peak,t_stop,rise_min,tot_min,ratio,amp,tic_id,spectral_type
2334.890284546172,2334.8916734656445,2334.9041737411176,2.0000440403237008,20.000440721487394,0.09999999840878314,0.033851149066637554,388857263,M3V
2335.2011710107713,2335.202096957008,2335.243533049758,1.33336258091731,61.00133614061633,0.021857924191098516,0.030594140763414268,388857263,M3V
2337.1637127969593,2337.1641757694956,2337.16764806282,0.6666804522683378,5.666782839107327,0.11764707969175649,0.01744427274799487,388857263,M3V
2340.1940951655774,2340.1945581367168,2340.1973359640183,0.6666784406115767,4.66674975483329,0.14285712233039852,0.016552816017234795,388857263,M3V
2342.192740006682,2342.1938974326677,2342.1973697096923,1.6666934193199268,6.666772334865527,0.2500000503397338,0.024340457217568945,388857263,M3V
2343.143680609292,2343.1443750641383,2343.1473843686267,1.00001497870835,5.333413441985613,0.1874999921881263,0.019575430181521192,388857263,M3V
2344.95759498045,2344.958289433899,2344.960835763524,1.000012967051589,4.6667276266089175,0.2142856937588726,0.047539651719339826,388857263,M3V
2348.281469658667,2348.2817011414427,2348.2826270730097,0.333335196992266,1.6666766535490751,0.19999991976995132,0.01085634294220994,388857263,M3V
2350.180091298775,2350.1807857466365,2350.1856468816645,1.0000049204245443,8.00003936077701,0.12500000004092707,0.015479093681515677,388857263,M3V
2351.9469968576736,2351.9476913046033,2351.9576450420695,1.0000035786652006,15.333385530102532,0.0652174026865751,0.02170302405969382,388857263,M3V
2353.385426735105,2353.3879730367894,2353.39862120675,3.666674425767269,19.000039168749936,0.19298246667817315,0.019922785285647393,388857263,M3V
2356.7696873715427,2356.7701503338344,2356.773854033099,0.6666657001187559,5.999992640863638,0.11111108630006522,0.010581064393658357,388857263,M3V
2357.304177294162,2357.3060291423967,2357.314825423144,2.666661458060844,15.33330573438434,0.17391301681808638,0.01868638802724476,388857263,M3V
3071.519733251086,3071.5208906761163,3071.527372256104,1.6666920435091015,11.0001672260114,0.15151515511218597,0.014434068704444192,388857263,M3V
3071.6514482060106,3071.6521426608438,3071.6586242398994,1.0000149597181007,10.333488799806219,0.09677418528163051,0.013323891405048416,388857263,M3V
3081.908262765805,3081.909188698286,3081.923540647319,1.3333427727775415,22.000149380255607,0.0606060781557316,0.0101300988735602,388857263,M3V
3082.09067141241,3082.091365861189,3082.102014081693,1.0000062418839661,16.333443767944118,0.061224457994986346,0.026978743792352988,388857263,M3V
3089.358492868747,3089.3587243487236,3089.3621965507077,0.3333311664755456,5.3333020235731965,0.06249996062518525,0.016885710017351174,388857263,M3V
3089.629556048512,3089.63094492884,3089.633954169474,1.9999876726797083,6.333294185169507,0.3157894792512595,0.012507073155166637,388857263,M3V
3091.5364870171034,3091.539959211638,3091.553385031212,4.999960129571264,24.333140316739446,0.20547944344576238,0.04097944703830847,388857263,M3V
3092.8036059587325,3092.8040689177546,3092.826985380067,0.6666609918465838,33.66636672173627,0.01980198805997567,0.02611745642747909,388857263,M3V
4074.8438253451113,4074.8514647939237,4074.8716051591787,11.000806289812317,40.00293225697533,0.27499999797875074,0.017873066364981316,388857263,M3V
4079.1890445333815,4079.1899705241603,4079.1939059850024,1.3334267214668216,7.000490334030474,0.19047618921560774,0.02058053155742212,388857263,M3V
4083.44118910011,4083.442809580174,4083.4499859918915,2.333491292229155,12.667524165299255,0.1842105262069598,0.034651660147122954,388857263,M3V
4083.8560319578883,4083.8564949521165,4083.8585784260913,0.6667116886092117,3.666914212371921,0.18181818553588502,0.01753062049956866,388857263,M3V
4084.151653746213,4084.1521167403844,4084.153274225784,0.6667116067546885,2.3334905823867302,0.2857142907655387,0.012594305731026267,388857263,M3V
4091.1322462541257,4091.1334037457464,4091.138496708908,1.6667879337910563,9.000654886476696,0.18518518427979858,0.015279575348829733,388857263,M3V
4091.337353748002,4091.337816744549,4091.3429097065746,0.6667150276189204,8.000580344523769,0.08333333319691902,0.027766487173942478,388857263,M3V
4095.527464161407,4095.5325571038547,4095.5496879101047,7.3338371248974,32.00219812482828,0.2291666683735573,0.02482590388321748,388857263,M3V
4096.1270422345415,4096.12935720725,4096.159220354195,3.333560700266389,46.3364923010522,0.07194244826751142,0.06347380243148204,388857263,M3V
4098.31908791515,4098.319782405782,4098.3209398901845,1.000066509732278,2.6668440499634016,0.3749999966237255,0.010392117763816877,388857263,M3V
4099.077240088907,4099.077703082565,4099.083953497076,0.6667108667897992,9.667307763593271,0.06896551584926343,0.023154172617220192,388857263,M3V
4103.409492152486,4103.41088114116,4103.416668594217,2.0001436906750314,10.334076093568001,0.19354838038399333,0.012706141154701589,388857263,M3V
4105.074656071175,4105.081369500462,4105.093175875955,9.667338172876043,26.668518883525394,0.36250000290972617,0.06683630852044042,388857263,M3V
4108.438540140577,4108.43900313382,4108.444327555974,0.6667102695791982,8.33387817197945,0.08000000189837696,0.03552663781986576,388857263,M3V
4109.849279381216,4109.851131351153,4109.871271524074,2.6668367092497647,31.66868571541272,0.08421052686603446,0.024284188711220622,388857263,M3V
4110.4437615377765,4110.444919018201,4110.453252877446,1.6667718117241748,13.667529124359135,0.12195121711894132,0.013421621224267266,388857263,M3V
4111.177835365212,4111.178529852977,4111.194966063207,1.000062381644966,24.668205113557633,0.040540541034148135,0.03575284585264038,388857263,M3V
4111.442203676114,4111.442666667843,4111.449148552145,0.6667080889747012,10.000621483923169,0.06666666567137752,0.03556667614076492,388857263,M3V
4112.578848130163,4112.580237105229,4112.585793005379,2.000124094047351,10.000620310456725,0.20000000319540237,0.03940527061239685,388857263,M3V
4112.728625953044,4112.731172407835,4112.7413582270065,3.666894899943145,18.334474506264087,0.19999999992856776,0.016536443036647475,388857263,M3V
4116.5281856508545,4116.528880141302,4116.543232944409,1.0000662438687868,21.668102718831506,0.04615384451725164,0.09625354471292447,388857263,M3V
4118.08708319897,4118.087546191281,4118.092176115792,0.6667089284746908,7.33380022487836,0.0909090659727848,0.015337089230174072,388857263,M3V
